model,mse,settling_time,control_cost,success,non_mean_mse
Expert PD,0.04156949533986566,166.8101,[8653.65382068258],[1.0],6.934211674592525
['2026_07_04_03_35__lambda=1.5.pt'],0.03857955553316846,152.176,[18932.47770733842],[1.0],5.870882442815444
['2026_07_04_04_06__lambda=2.5.pt'],0.03944781111274411,153.9581,[21747.292011166668],[1.0],6.073310048076969
['2026_07_04_07_47__lambda=4.0.pt'],0.039217335517375815,151.9135,[23145.79529749133],[1.0],5.957642699118871
['2026_07_04_06_07__lambda=3.0.pt'],0.0389614942659018,153.1801,[22461.2368472005],[1.0],5.968125587800265
['2026_07_04_03_49__lambda=2.0.pt'],0.03932407517382126,155.5442,[20735.68642991272],[1.0],6.116631813651889
['2026_07_03_21_37__lambda=0.5.pt'],0.04025955106284195,154.9441,[13912.011440785036],[1.0],6.237979905836089
['2026_07_04_10_11__lambda=5.0.pt'],0.04735850889598223,150.6164,[24831.792536312412],[1.0],7.132968119280818
['2026_07_04_03_14__lambda=1.0.pt'],0.03896911711387181,157.801,[17365.313711240535],[1.0],6.149365649686086
['2026_07_03_21_37__lambda=0.3.pt'],0.04052498989120551,159.3577,[12310.881374196124],[1.0],6.45796918158576
['2026_07_03_21_37__lambda=0.1.pt'],0.04133417561327616,162.9635,[10034.208896547487],[1.0],6.73596192755413
['2026_07_03_21_37__lambda=0.0.pt'],0.041569781610622934,166.8117,[8653.59113286337],[1.0],6.93432593909675
